ESVs,species,identity_percentage,coverage,evalue,bitscore,source
ESV_773,Cyrea_szymborska_17247,91.64,96,7.72E-120,425,Genbank
ESV_774,Textularid_Rik_9399_consensus0_1584,88.854,99,2.83E-109,390,Genbank
ESV_779,Eggerelloides_scaber_12301,94.737,100,3.48E-143,503,Genbank
ESV_780,Glabratella_sp._17918,98.142,100,1.57E-161,564,Genbank
ESV_781,Calcarina_hispida_Ambon_&_Calcarina_spengleri_&_Calcarina_sp._5247_Spermonde,98.452,100,3.38E-163,569,Genbank
ESV_782,Stainforthia_sp._17321,95.938,99,3.45E-148,520,Genbank
ESV_784,Amphistegina_lobifera,95.666,100,3.45E-148,520,Genbank
ESV_785,Sorites_sp1_Spermonde,96.885,100,9.47E-154,538,Genbank
ESV_786,Encrusting_Rik_9441_consensus0_977,97.17,98,9.54E-154,538,Genbank
ESV_787,Encrusting_Rik_9441_consensus0_977,91.875,99,1.65E-126,448,Genbank
ESV_788,Calcarina_hispida_Ambon_&_Calcarina_spengleri_&_Calcarina_sp._5247_Spermonde,97.523,100,3.41E-158,553,Genbank
ESV_789,Murrayinella_globosa_18043,90.712,100,1.67E-121,431,Genbank
ESV_790,Stainforthia_sp._17321,98.452,100,3.38E-163,569,Genbank
ESV_791,Encrusting_Rik_9441_consensus0_977,97.205,99,5.7E-156,545,Genbank
ESV_792,Cyrea_szymborska_17247,98.026,94,2.06E-150,527,Genbank
ESV_794,Trifarina_earlandi_&_Uvigerina_bifurcata,97.214,100,1.58E-156,547,Genbank
ESV_796,Textularid_Rik_9398_consensus128_73,91.304,100,9.89E-124,438,Genbank
ESV_798,Borelis_schlumbergeri_3737_Spermonde,92.835,100,4.53E-132,466,Genbank
ESV_799,Calcarina_sp._5164_Spermonde,99.062,99,7.27E-165,575,Genbank
ESV_801,Haynesina_germanica_18209,91.95,100,3.55E-128,453,Genbank
ESV_805,Calcarina_sp._5165_Spermonde,99.381,100,3.36E-168,586,Genbank
ESV_806,Haynesina_germanica_18209,92.26,99,2.75E-129,457,Genbank
ESV_807,Cribrostomoides_17496,79.038,88,1.11E-48,189,Genbank
ESV_809,Encrusting_Rik_9441_consensus0_977,98.742,98,4.37E-162,566,Genbank
ESV_810,Cyrea_szymborska_17247,98.35,94,4.41E-152,532,Genbank
ESV_812,Miliolid_Rik_9400_9405_Israel,98.442,100,4.35E-162,566,Genbank
ESV_814,Sorites_sp2_Spermonde,98.428,99,2.02E-160,560,Genbank
ESV_816,Cyrea_szymborska_17247,94.516,96,2.11E-135,477,Genbank
ESV_817,Encrusting_Rik_9441_consensus0_977,97.523,100,3.41E-158,553,Genbank
ESV_818,Encrusting_Rik_9441_consensus0_977,97.833,100,7.32E-160,558,Genbank
ESV_819,Amphistegina_lobifera,97.833,100,7.32E-160,558,Genbank
ESV_820,Stainforthia_sp._17321,98.142,100,1.57E-161,564,Genbank
ESV_821,Encrusting_Rik_9441_consensus0_977,95.077,100,7.48E-145,508,Genbank
ESV_824,Heterostegina_depressa_sp1_Spermonde,98.142,100,1.57E-161,564,Genbank
ESV_825,Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2,97.523,100,3.41E-158,553,Genbank
ESV_826,Textularid_Rik_9399_consensus0_1584,93.75,99,5.86E-136,479,Genbank
ESV_827,Cibicidoides_lobatulus_17944,94.118,100,7.53E-140,492,Genbank
ESV_828,Vertebralina_Rik_9325_consensus0_1751,98.131,100,2.02E-160,560,Genbank
ESV_829,Amphistegina_lessonii_5174,98.142,100,1.57E-161,564,Genbank
ESV_830,Calcarina_hispida_&_Calcarina_sp_5163_Spermonde,98.125,99,7.32E-160,558,Genbank
ESV_832,Eggerelloides_scaber_12301,88.365,98,4.73E-107,383,Genbank
ESV_833,Trifarina_earlandi_&_Uvigerina_bifurcata,93.168,99,2.73E-134,473,Genbank
ESV_834,Encrusting_Rik_9441_consensus0_977,97.205,99,5.7E-156,545,Genbank
ESV_836,Trifarina_earlandi_&_Uvigerina_bifurcata,98.457,100,3.38E-163,569,Genbank
ESV_837,Textularid_Rik_9398_consensus128_73,90.994,100,4.6E-122,433,Genbank
ESV_839,Amphistegina_lobifera,97.214,100,1.58E-156,547,Genbank
ESV_841,Peneroplis_sp2_&_Peneroplis_pertusus_5117_&_Dendritina_ambigua_Spermonde,99.007,94,7.32E-155,542,Genbank
ESV_842,Cyrea_szymborska_17247,98.02,94,2.05E-150,527,Genbank
ESV_844,Eggerelloides_scaber_12301,97.833,100,7.32E-160,558,Genbank
ESV_845,Stainforthia_sp._17321,98.142,100,1.57E-161,564,Genbank
ESV_847,Cyrea_szymborska_17247,94.194,96,9.81E-134,472,Genbank
ESV_848,Cibicidoides_lobatulus_17944,93.808,100,3.5E-138,486,Genbank
ESV_850,Pyrgo_Rik_9347_consensus0_1557,99.688,99,3.34E-168,586,Genbank
ESV_852,Amphisorus_&_Amphisorus_SpL_&_Amphisorus_SpS_Spermonde,99.67,94,9.41E-159,555,Genbank
ESV_853,Textularid_Rik_9399_consensus0_1584,90.938,99,5.99E-121,429,Genbank
ESV_857,Planorbulinella_sp._17893,98.447,99,1.22E-162,568,Genbank
ESV_858,Borelis_schlumbergeri_3737_Spermonde,93.769,100,4.5E-137,483,Genbank
ESV_860,Eggerelloides_scaber_12301,95.652,99,1.24E-147,518,Genbank
ESV_861,Cyrea_szymborska_17247,92.131,94,2.15E-120,427,Genbank
ESV_862,Amphistegina_lobifera,96.594,100,3.43E-153,536,Genbank
ESV_863,Elphidium_Rik_9327_9337_9350_Spermonde,96.904,100,7.37E-155,542,Genbank
ESV_864,Amphistegina_lobifera,97.523,100,3.41E-158,553,Genbank
ESV_865,Murrayinella_globosa_18043,93.498,100,1.63E-136,481,Genbank
ESV_866,Miliolid_Rik_9365_consensus0_1988,96.573,100,4.41E-152,532,Genbank
ESV_867,Encrusting_Rik_9441_consensus0_977,98.452,100,3.38E-163,569,Genbank
ESV_869,Trifarina_earlandi_&_Uvigerina_bifurcata,89.557,98,1.31E-112,401,Genbank
ESV_870,Cyrea_szymborska_17247,96.129,96,9.67E-144,505,Genbank
ESV_871,Cribrostomoides_17496,76.825,96,1.44E-42,169,Genbank
ESV_872,Elphidium_Rik_9327_9337_9350_Spermonde,97.214,100,1.58E-156,547,Genbank
ESV_873,Encrusting_Rik_9441_consensus0_977,97.826,99,2.63E-159,556,Genbank
ESV_874,Nummulites_venosus,98.452,100,1.22E-162,568,Genbank
ESV_875,Encrusting_Rik_9441_consensus0_977,98.447,99,1.22E-162,568,Genbank
ESV_876,Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp.,96.845,98,1.6E-151,531,Genbank
ESV_877,Milliolid_red_Rik_9370_9371_9372_Israel,95.597,98,7.48E-145,508,Genbank
ESV_878,Encrusting_Rik_9441_consensus0_977,98.433,99,5.66E-161,562,Genbank
ESV_879,Encrusting_Rik_9441_consensus0_977,98.452,100,3.38E-163,569,Genbank
ESV_882,Eggerelloides_scaber_12301,95.046,100,7.48E-145,508,Genbank
ESV_884,Stainforthia_sp._17321,97.214,100,5.68E-156,545,Genbank
ESV_885,Oridorsalis_umbonatus_18653,93.808,100,3.5E-138,486,Genbank
ESV_886,Pyrgo_Rik_9347_consensus0_1557,96.594,100,1.23E-152,534,Genbank
ESV_887,Textularid_Rik_9399_consensus0_1584,85.625,99,1.72E-91,331,Genbank
ESV_888,Vertebralina_Rik_9325_consensus0_1751,99.062,99,7.22E-165,575,Genbank
ESV_889,Encrusting_Rik_9441_consensus0_977,97.523,100,3.41E-158,553,Genbank
ESV_890,Cribrorotalia_sp._17611,97.523,100,3.41E-158,553,Genbank
ESV_891,Haynesina_germanica_18209,94.72,99,1.25E-142,501,Genbank
ESV_893,Calcarina_sp._5164_Spermonde,95.666,100,3.45E-148,520,Genbank
ESV_894,Encrusting_Rik_9441_consensus0_977,97.214,100,1.58E-156,547,Genbank
ESV_896,Murrayinella_globosa_18043,98.142,100,1.57E-161,564,Genbank
ESV_897,Murrayinella_globosa_18043,89.506,100,7.8E-115,409,Genbank
ESV_899,Amphisorus_&_Amphisorus_SpL_&_Amphisorus_SpS_Spermonde,88.991,100,2.77E-109,390,Genbank
ESV_900,Murrayinella_globosa_18043,96.904,100,7.37E-155,542,Genbank
ESV_901,Pyrgo_Rik_9347_consensus0_1557,99.688,99,3.34E-168,586,Genbank
ESV_902,Encrusting_Rik_9441_consensus0_977,98.142,100,1.57E-161,564,Genbank
ESV_904,Trifarina_earlandi_&_Uvigerina_bifurcata,94.099,99,2.71E-139,490,Genbank
ESV_905,Textularid_Rik_9398_consensus128_73,96.885,100,9.47E-154,538,Genbank
ESV_906,Encrusting_Rik_9441_consensus0_977,96.594,100,3.43E-153,536,Genbank
ESV_907,Amphistegina_lobifera,98.452,99,1.22E-162,568,Genbank
ESV_908,Eggerelloides_scaber_12301,93.498,100,1.63E-136,481,Genbank
ESV_909,Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp.,99.071,100,1.56E-166,580,Genbank
ESV_910,Murrayinella_globosa_18043,88.58,100,7.86E-110,392,Genbank
ESV_911,Amphisorus_Rik_9393_9396_&_Biloculina_Rik_9439,94.081,100,9.68E-139,488,Genbank
ESV_912,Encrusting_Rik_9441_consensus0_977,96.904,100,7.37E-155,542,Genbank
ESV_913,Trifarina_earlandi_&_Uvigerina_bifurcata,88.854,99,6.07E-111,396,Genbank
ESV_915,Cyrea_szymborska_17247,93.269,96,9.88E-129,455,Genbank
ESV_916,Sorites_sp2_Spermonde,98.113,99,9.41E-159,555,Genbank
ESV_917,Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2,89.13,99,1.31E-112,401,Genbank
ESV_918,Lacogromia_cassipara_18990,85.759,99,2.89E-94,340,Genbank
ESV_919,Rosalina_sp._17595,98.428,98,2.04E-160,560,Genbank
ESV_920,Encrusting_Rik_9441_consensus0_977,98.746,99,1.22E-162,568,Genbank
ESV_921,Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp.,99.071,100,1.56E-166,580,Genbank
ESV_923,Heterostegina_depressa_sp1_Spermonde,98.142,100,1.57E-161,564,Genbank
ESV_924,Encrusting_Rik_9441_consensus0_977,98.142,100,1.57E-161,564,Genbank
ESV_926,Planorbulinella_sp._17893,98.137,99,5.66E-161,562,Genbank
ESV_927,Glabratella_sp._17918,99.071,100,1.56E-166,580,Genbank
ESV_928,Rosalina_sp._17595,91.95,100,3.55E-128,453,Genbank
ESV_929,Vertebralina_Rik_9325_consensus0_1751,95.912,98,1.61E-146,514,Genbank
ESV_930,Alveolinella_quoyi_Spermonde,98.113,98,3.41E-158,553,Genbank
ESV_931,Murrayinella_globosa_18043,97.523,100,3.41E-158,553,Genbank
ESV_932,Encrusting_Rik_9441_consensus0_977,97.523,100,3.41E-158,553,Genbank
ESV_935,Cyrea_szymborska_17247,94.516,96,2.11E-135,477,Genbank
ESV_938,Murrayinella_globosa_18043,96.285,100,1.6E-151,531,Genbank
ESV_939,Cribrostomoides_17496,80.201,91,5.08E-57,217,Genbank
ESV_941,Encrusting_Rik_9441_consensus0_977,98.438,99,1.57E-161,564,Genbank
ESV_942,Encrusting_Rik_9441_consensus0_977,97.523,100,3.41E-158,553,Genbank
ESV_943,Trifarina_earlandi_&_Uvigerina_bifurcata,97.523,100,1.22E-157,551,Genbank
ESV_945,Amphisorus_&_Amphisorus_SpL_&_Amphisorus_SpS_Spermonde,100,94,2.02E-160,560,Genbank
ESV_946,Amphistegina_radiata_Spermonde,97.833,100,7.32E-160,558,Genbank
ESV_947,Encrusting_Rik_9441_consensus0_977,97.833,100,7.32E-160,558,Genbank
ESV_949,Calcarina_hispida_Ambon_&_Calcarina_spengleri_&_Calcarina_sp._5247_Spermonde,97.214,100,1.58E-156,547,Genbank
ESV_950,Stainforthia_sp._17321,97.833,100,7.32E-160,558,Genbank
ESV_951,Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp.,97.523,100,3.41E-158,553,Genbank
ESV_952,Calcarina_sp._5164_Spermonde,97.812,99,3.41E-158,553,Genbank
ESV_956,Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2,99.381,100,3.36E-168,586,Genbank
ESV_957,Amphistegina_lobifera,92.879,100,3.53E-133,470,Genbank
ESV_958,Stainforthia_sp._17321,95.963,99,2.67E-149,523,Genbank
ESV_960,Stainforthia_sp._17321,97.214,100,1.58E-156,547,Genbank
ESV_961,Murrayinella_globosa_18043,87.037,100,1.71E-101,364,Genbank
ESV_963,Textularid_Rik_9397_consensus4_105,99.071,100,1.56E-166,580,Genbank
ESV_966,Bolivina_sp._17601_&_Bolivina_sp._17907,98.762,100,7.27E-165,575,Genbank
ESV_967,Murrayinella_globosa_18043,93.548,96,2.12E-130,460,Genbank
ESV_969,Amphistegina_lobifera,97.214,100,1.58E-156,547,Genbank
ESV_970,Amphisorus_&_Amphisorus_SpL_&_Amphisorus_SpS_Spermonde,98.344,94,1.59E-151,531,Genbank
ESV_971,Heterostegina_depressa_sp1_Spermonde,98.142,100,1.57E-161,564,Genbank
ESV_973,Amphistegina_papillosa_Spermonde_3741,97.214,100,1.58E-156,547,Genbank
ESV_974,Alveolinella_quoyi_Spermonde,97.484,98,7.37E-155,542,Genbank
ESV_978,Cyrea_szymborska_17247,98.052,96,3.41E-153,536,Genbank
ESV_979,Textularid_Rik_9397_consensus4_105,99.381,100,3.36E-168,586,Genbank
ESV_980,Textularid_Rik_9398_consensus128_73,86.335,100,4.77E-97,350,Genbank
ESV_981,Calcarina_gaudichaudii,98.125,99,7.32E-160,558,Genbank
ESV_982,Vertebralina_Rik_9325_consensus0_1751,96.855,98,1.6E-151,531,Genbank
ESV_984,Stainforthia_sp._17321,97.222,100,1.58E-156,547,Genbank
ESV_985,Pyrgo_Rik_9347_consensus0_1557,97.523,100,1.23E-157,551,Genbank
ESV_986,Murrayinella_globosa_18043,91.667,100,1.65E-126,448,Genbank
ESV_988,Murrayinella_globosa_18043,96.594,100,3.43E-153,536,Genbank
ESV_989,Amphistegina_radiata_Spermonde,97.523,100,3.41E-158,553,Genbank
ESV_990,Encrusting_Rik_9441_consensus0_977,97.833,100,7.32E-160,558,Genbank
ESV_991,Stainforthia_sp._17321,94.737,100,3.48E-143,503,Genbank
ESV_992,Textularid_Rik_9399_consensus0_1584,89.342,98,4.7E-112,399,Genbank
ESV_993,Cyrea_szymborska_17247,94.314,93,2.72E-129,457,Genbank
ESV_995,Cyrea_szymborska_17247,90.164,94,2.18E-110,394,Genbank
ESV_996,Cyrea_szymborska_17247,94.839,96,1.62E-136,481,Genbank
ESV_997,Heterostegina_depressa_sp1_Spermonde,98.142,100,1.57E-161,564,Genbank
ESV_998,Peneroplis_sp1_Spermonde,94.41,100,2.08E-140,494,Genbank
ESV_999,Pyrgo_Rik_9347_consensus0_1557,86.462,100,4.78E-97,350,Genbank
ESV_1000,Glabratella_sp._17918,98.452,100,3.38E-163,569,Genbank
ESV_1001,Calcarina_hispida_&_Calcarina_sp_5163_Spermonde,98.438,99,1.57E-161,564,Genbank
ESV_1002,Encrusting_Rik_9441_consensus0_977,97.799,98,4.41E-157,549,Genbank
ESV_1003,Textularia_gramen_13633,95.806,96,1.25E-142,501,Genbank
ESV_1004,Nummulites_venosus,98.762,100,2.61E-164,573,Genbank
ESV_1005,Stainforthia_sp._17321,98.142,100,5.64E-161,562,Genbank
ESV_1007,Amphistegina_lobifera,95.666,100,3.45E-148,520,Genbank
ESV_1008,Amphistegina_papillosa_Spermonde_3741,97.214,100,1.58E-156,547,Genbank
ESV_1009,Textularid_Rik_9399_consensus0_1584,88.438,99,1.68E-106,381,Genbank
ESV_1010,Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2,81.481,100,1.79E-71,265,Genbank
ESV_1011,Elphidium_Rik_9327_9337_9350_Spermonde,96.594,100,3.43E-153,536,Genbank
ESV_1012,Vertebralina_Rik_9325_consensus0_1751,95.597,98,7.48E-145,508,Genbank
ESV_1013,Amphistegina_lobifera,98.762,99,2.61E-164,573,Genbank
ESV_1014,Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2,82.622,99,8.18E-75,276,Genbank
ESV_1015,Borelis_schlumbergeri_3737_Spermonde,93.769,100,4.5E-137,483,Genbank
ESV_1018,Calcarina_sp._5165_Spermonde,99.688,99,3.36E-168,586,Genbank
ESV_1019,Planorbulinella_sp._17893,98.137,99,5.66E-161,562,Genbank
ESV_1020,Planorbulinella_sp._17893,97.516,99,1.23E-157,551,Genbank
ESV_1021,Calcarina_sp._5165_Spermonde,98.438,99,1.57E-161,564,Genbank
ESV_1022,Borelis_schlumbergeri_3737_Spermonde,94.081,100,9.68E-139,488,Genbank
ESV_1023,Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2,88.545,99,1.02E-108,388,Genbank
ESV_1025,Cyrea_szymborska_17247,94.754,94,9.78E-134,472,Genbank
ESV_1026,Textularid_Rik_9399_consensus0_1584,77.538,98,5.15E-47,183,Genbank
ESV_1028,Textularid_Rik_9399_consensus0_1584,86.687,99,1.33E-97,351,Genbank
ESV_1029,Entzia_macrescens_13533,84.615,96,1.05E-83,305,Genbank
ESV_1030,Operculina_heterosteginoides,96.562,99,1.6E-151,531,Genbank
ESV_1031,Amphistegina_radiata_Spermonde,98.137,99,5.66E-161,562,Genbank
ESV_1032,Borelis_schlumbergeri_3737_Spermonde,91.022,99,4.63E-122,433,Genbank
ESV_1033,Heterostegina_depressa_sp1_Spermonde,96.605,100,3.43E-153,536,Genbank
ESV_1034,Encrusting_Rik_9441_consensus0_977,97.214,100,1.58E-156,547,Genbank
ESV_1035,Lacogromia_cassipara_18990,84.52,100,3.76E-88,320,Genbank
ESV_1036,Murrayinella_globosa_18043,91.95,100,3.55E-128,453,Genbank
ESV_1038,Heterostegina_depressa_sp1_Spermonde,97.833,100,7.32E-160,558,Genbank
ESV_1039,Stainforthia_sp._17321,98.142,100,1.57E-161,564,Genbank
ESV_1040,Haynesina_germanica_18209,98.765,100,7.27E-165,575,Genbank
ESV_1041,Murrayinella_globosa_18043,87.346,100,3.68E-103,370,Genbank
ESV_1042,Cyrea_szymborska_17247,96.743,96,5.74E-146,512,Genbank
ESV_1043,Murrayinella_globosa_18043,97.833,100,7.32E-160,558,Genbank
ESV_1044,Amphistegina_lessonii,97.833,99,2.63E-159,556,Genbank
ESV_1045,Murrayinella_globosa_18043,97.523,100,3.41E-158,553,Genbank
ESV_1046,Textularid_Rik_9397_consensus4_105,93.189,100,7.58E-135,475,Genbank
ESV_1047,Murrayinella_globosa_18043,96.904,100,7.37E-155,542,Genbank
ESV_1048,Sorites_sp1_Spermonde,97.508,100,4.38E-157,549,Genbank
ESV_1049,Amphistegina_lobifera,96.594,100,3.43E-153,536,Genbank
ESV_1050,Heterostegina_depressa_sp1_Spermonde,95.385,100,1.61E-146,514,Genbank
ESV_1051,Discanomalina_coronata_18034,95.638,92,5.86E-136,479,Genbank
ESV_1052,Haynesina_germanica_18209,98.148,100,1.57E-161,564,Genbank
ESV_1053,Cyrea_szymborska_17247,94.426,94,4.55E-132,466,Genbank
ESV_1054,Glabratella_sp._17918,94.737,100,3.48E-143,503,Genbank
ESV_1056,Calcarina_hispida_&_Calcarina_sp_5163_Spermonde,96.904,100,7.37E-155,542,Genbank
ESV_1060,Haynesina_germanica_18209,98.452,100,3.38E-163,569,Genbank
ESV_1061,Murrayinella_globosa_18043,87.963,100,1.7E-106,381,Genbank
ESV_1062,Textularid_Rik_9399_consensus0_1584,97.205,99,2.05E-155,544,Genbank
ESV_1063,Planorbulinella_Rik_9331_consensus21_181,94.154,100,2.09E-140,494,Genbank
ESV_1066,Cyrea_szymborska_17247,95.146,96,3.5E-138,486,Genbank
ESV_1067,Discanomalina_coronata_18034,90.712,100,1.67E-121,431,Genbank
ESV_1068,Cyrea_szymborska_17247,93.421,94,4.6E-127,449,Genbank
ESV_1069,Encrusting_Rik_9441_consensus0_977,97.523,100,3.41E-158,553,Genbank
ESV_1070,Discanomalina_coronata_18034,95.912,98,4.47E-147,516,Genbank
ESV_1071,Eggerelloides_scaber_12301,91.824,98,2.14E-125,444,Genbank
ESV_1072,Calcarina_hispida_&_Calcarina_sp_5163_Spermonde,98.75,99,3.38E-163,569,Genbank
ESV_1073,Amphistegina_lobifera,98.142,100,1.57E-161,564,Genbank
ESV_1074,Cyrea_szymborska_17247,94.498,96,2.71E-134,473,Genbank
ESV_1075,Operculina_ammonoides,97.5,99,1.58E-156,547,Genbank
ESV_1076,Amphisorus_&_Amphisorus_SpL_&_Amphisorus_SpS_Spermonde,99.01,94,2.04E-155,544,Genbank
ESV_1077,Amphistegina_lessonii_5174,97.231,100,1.58E-156,547,Genbank
ESV_1078,Amphistegina_lessonii,97.214,100,1.58E-156,547,Genbank
ESV_1079,Alveolinella_quoyi_Spermonde,96.226,98,3.45E-148,520,Genbank
ESV_1080,Milliolids_Rik_9329_consensus0_52,79.141,100,1.41E-57,219,Genbank
ESV_1081,Pyrgo_Rik_9347_consensus0_1557,87.077,100,6.16E-101,363,Genbank
ESV_1083,Encrusting_Rik_9441_consensus0_977,98.148,100,1.57E-161,564,Genbank
ESV_1084,Rosalina_sp._17595,98.125,99,7.32E-160,558,Genbank
ESV_1085,Textularid_Rik_9399_consensus0_1584,80.556,99,2.32E-65,244,Genbank
ESV_1086,Amphistegina_lobifera,97.523,100,3.41E-158,553,Genbank
ESV_1088,Calcarina_spengleri_Rik_9352_consensus0_1732_Spermonde,95.356,100,1.61E-146,514,Genbank
ESV_1091,Calcarina_gaudichaudii,98.142,100,1.57E-161,564,Genbank
ESV_1093,Borelis_schlumbergeri_3737_Spermonde,96.885,100,9.47E-154,538,Genbank
ESV_1095,Entzia_macrescens_13533,78.165,96,3.08E-49,191,Genbank
ESV_1096,Cyrea_szymborska_17247,99.675,96,1.56E-161,564,Genbank
ESV_1097,Heterostegina_depressa_sp1_Spermonde,96.285,100,1.6E-151,531,Genbank
ESV_1098,Miliolid_Rik_9400_9405_Israel,98.754,100,9.34E-164,571,Genbank
ESV_1099,Cibicidoides_lobatulus_17944,98.762,100,7.27E-165,575,Genbank
ESV_1100,Rosalina_sp._14698,96.594,100,3.43E-153,536,Genbank
ESV_1101,Amphistegina_lobifera,95.046,100,7.48E-145,508,Genbank
ESV_1102,Cibicidoides_lobatulus_17944,87.423,100,3.68E-103,370,Genbank
ESV_1103,Textularid_Rik_9398_consensus128_73,90.994,100,4.6E-122,433,Genbank
ESV_1104,Encrusting_Rik_9441_consensus0_977,97.214,100,1.58E-156,547,Genbank
ESV_1106,Elphidium_Rik_9327_9337_9350_Spermonde,97.214,100,1.58E-156,547,Genbank
ESV_1107,Pyrgo_Rik_9347_consensus0_1557,84.923,100,2.91E-89,324,Genbank
ESV_1108,Entzia_macrescens_13533,78.797,96,1.42E-52,202,Genbank
ESV_1109,Cyrea_szymborska_17247,96.452,96,2.08E-145,510,Genbank
ESV_1110,Borelis_schlumbergeri_3737_Spermonde,97.508,100,4.38E-157,549,Genbank
ESV_1111,Amphisorus_&_Amphisorus_SpL_&_Amphisorus_SpS_Spermonde,98.675,94,3.41E-153,536,Genbank
ESV_1112,Peneroplis_sp2_&_Peneroplis_pertusus_5117_&_Dendritina_ambigua_Spermonde,100,94,7.27E-160,558,Genbank
ESV_1113,Eggerelloides_scaber_12301,93.189,100,7.58E-135,475,Genbank
ESV_1114,Trifarina_earlandi_&_Uvigerina_bifurcata,94.72,99,1.25E-142,501,Genbank
ESV_1115,Heterostegina_depressa_sp1_Spermonde,96.594,100,3.43E-153,536,Genbank
ESV_1117,Milliolid_red_Rik_9370_9371_9372_Israel,99.048,98,4.35E-162,566,Genbank
ESV_1118,Encrusting_Rik_9441_consensus0_977,98.758,99,2.61E-164,573,Genbank
ESV_1119,Borelis_schlumbergeri_3737_Spermonde,95.639,100,4.44E-147,516,Genbank
ESV_1120,Cyrea_szymborska_17247,95.455,96,2.68E-139,490,Genbank
ESV_1121,Cyrea_szymborska_17247,92.208,96,1.28E-122,435,Genbank
ESV_1122,Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp.,99.071,100,1.56E-166,580,Genbank
ESV_1123,Entzia_macrescens_13533,78.797,96,1.42E-52,202,Genbank
ESV_1125,Entzia_macrescens_13533,78.165,96,3.08E-49,191,Genbank
ESV_1127,Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2,77.538,100,3.07E-49,191,Genbank
ESV_1128,Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp.,99.071,100,1.56E-166,580,Genbank
ESV_1129,Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp.,99.068,99,5.62E-166,579,Genbank
ESV_1130,Sorites_sp1_Spermonde,97.799,99,4.38E-157,549,Genbank
ESV_1131,Heterostegina_depressa_sp1_Spermonde,95.356,100,1.61E-146,514,Genbank
ESV_1133,Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp.,90.741,100,1.67E-121,431,Genbank
ESV_1134,Textularid_Rik_9399_consensus0_1584,90.939,96,4.65E-117,416,Genbank
ESV_1135,Encrusting_Rik_9441_consensus0_977,98.447,99,1.22E-162,568,Genbank
ESV_1137,Milliolid_red_Rik_9370_9371_9372_Israel,96.262,100,2.05E-150,527,Genbank
ESV_1138,Amphistegina_lobifera,97.833,99,2.63E-159,556,Genbank
ESV_1139,Textularid_Rik_9399_consensus0_1584,77.188,98,6.59E-46,180,Genbank
ESV_1141,Murrayinella_globosa_18043,87.5,98,4.76E-102,366,Genbank
ESV_1142,Eggerelloides_scaber_12301,94.737,100,3.48E-143,503,Genbank
ESV_1143,Amphistegina_lobifera,96.594,100,3.43E-153,536,Genbank
ESV_1144,Planorbulinella_sp._17893,98.137,99,5.66E-161,562,Genbank
ESV_1145,Eggerelloides_scaber_12301,96.815,97,7.42E-150,525,Genbank
ESV_1146,Psammina_limbata_18230,88.615,100,7.86E-110,392,Genbank
ESV_1147,Planorbulinella_sp._17893,98.762,99,2.61E-164,573,Genbank
ESV_1148,Encrusting_Rik_9441_consensus0_977,93.498,100,1.63E-136,481,Genbank
ESV_1150,Lacogromia_cassipara_18990,89.164,100,3.63E-113,403,Genbank
ESV_1151,Amphistegina_lobifera,98.142,100,1.57E-161,564,Genbank
ESV_1152,Stainforthia_sp._17321,98.142,100,1.57E-161,564,Genbank
ESV_1154,Entzia_macrescens_13533,92.605,96,5.95E-126,446,Genbank
ESV_1155,Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2,84.356,99,6.29E-86,313,Genbank
ESV_1156,Eggerelloides_scaber_12301,94.737,100,3.48E-143,503,Genbank
ESV_1157,Alveolinella_quoyi_Spermonde,97.799,98,1.58E-156,547,Genbank
ESV_1158,Heterostegina_depressa_sp1_Spermonde,97.812,99,3.41E-158,553,Genbank
ESV_1162,Encrusting_Rik_9441_consensus0_977,97.523,100,3.41E-158,553,Genbank
ESV_1163,Cyrea_szymborska_17247,97.419,96,2.06E-150,527,Genbank
ESV_1164,Encrusting_Rik_9441_consensus0_977,96.904,100,7.37E-155,542,Genbank
ESV_1165,Amphistegina_lobifera,94.427,100,1.62E-141,497,Genbank
ESV_1166,Glabratella_sp._17918,95.975,100,7.42E-150,525,Genbank
ESV_1167,Trifarina_earlandi_&_Uvigerina_bifurcata,91.772,98,2.77E-124,440,Genbank
ESV_1168,Eggerelloides_scaber_12301,91.536,98,3.58E-123,436,Genbank
